n	j	k	T_n_j_k
4	1	1	0
4	1	2	2
4	1	3	2
4	1	4	1
4	2	1	2
4	2	2	0
4	2	3	2
4	2	4	2
4	3	1	2
4	3	2	2
4	3	3	0
4	3	4	2
4	4	1	2
4	4	2	2
4	4	3	2
4	4	4	0
5	1	1	0
5	1	2	5
5	1	3	5
5	1	4	3
5	1	5	1
5	2	1	5
5	2	2	0
5	2	3	6
5	2	4	6
5	2	5	3
5	3	1	6
5	3	2	6
5	3	3	0
5	3	4	6
5	3	5	5
5	4	1	6
5	4	2	6
5	4	3	6
5	4	4	0
5	4	5	5
5	5	1	6
5	5	2	6
5	5	3	6
5	5	4	5
5	5	5	0
6	1	1	0
6	1	2	14
6	1	3	14
6	1	4	9
6	1	5	4
6	1	6	1
6	2	1	14
6	2	2	0
6	2	3	20
6	2	4	20
6	2	5	12
6	2	6	4
6	3	1	20
6	3	2	20
6	3	3	0
6	3	4	23
6	3	5	20
6	3	6	9
6	4	1	23
6	4	2	23
6	4	3	23
6	4	4	0
6	4	5	20
6	4	6	14
6	5	1	23
6	5	2	23
6	5	3	23
6	5	4	20
6	5	5	0
6	5	6	14
6	6	1	23
6	6	2	23
6	6	3	23
6	6	4	20
6	6	5	14
6	6	6	0
7	1	1	0
7	1	2	42
7	1	3	42
7	1	4	28
7	1	5	14
7	1	6	5
7	1	7	1
7	2	1	42
7	2	2	0
7	2	3	70
7	2	4	70
7	2	5	45
7	2	6	20
7	2	7	5
7	3	1	70
7	3	2	70
7	3	3	0
7	3	4	92
7	3	5	82
7	3	6	45
7	3	7	14
7	4	1	92
7	4	2	92
7	4	3	92
7	4	4	0
7	4	5	92
7	4	6	70
7	4	7	28
7	5	1	103
7	5	2	103
7	5	3	103
7	5	4	92
7	5	5	0
7	5	6	70
7	5	7	42
7	6	1	103
7	6	2	103
7	6	3	103
7	6	4	92
7	6	5	70
7	6	6	0
7	6	7	42
7	7	1	103
7	7	2	103
7	7	3	103
7	7	4	92
7	7	5	70
7	7	6	42
7	7	7	0
8	1	1	0
8	1	2	132
8	1	3	132
8	1	4	90
8	1	5	48
8	1	6	20
8	1	7	6
8	1	8	1
8	2	1	132
8	2	2	0
8	2	3	252
8	2	4	252
8	2	5	168
8	2	6	84
8	2	7	30
8	2	8	6
8	3	1	252
8	3	2	252
8	3	3	0
8	3	4	373
8	3	5	338
8	3	6	201
8	3	7	84
8	3	8	20
8	4	1	373
8	4	2	373
8	4	3	373
8	4	4	0
8	4	5	424
8	4	6	338
8	4	7	168
8	4	8	48
8	5	1	466
8	5	2	466
8	5	3	466
8	5	4	424
8	5	5	0
8	5	6	373
8	5	7	252
8	5	8	90
8	6	1	513
8	6	2	513
8	6	3	513
8	6	4	466
8	6	5	373
8	6	6	0
8	6	7	252
8	6	8	132
8	7	1	513
8	7	2	513
8	7	3	513
8	7	4	466
8	7	5	373
8	7	6	252
8	7	7	0
8	7	8	132
8	8	1	513
8	8	2	513
8	8	3	513
8	8	4	466
8	8	5	373
8	8	6	252
8	8	7	132
8	8	8	0
